player,matches_played,balls_faced,total_runs,highest_score,batting_average,strike_rate,centuries,half_centuries,fours,sixes,dismissals,balls_bowled,runs_conceded,wickets,economy,bowling_average,bowling_strike_rate,seasons_played,first_season,last_season,career_span
YV Takawale,10,183,192,45,24.0,104.92,0,0,26,3,8,0,0,0,,,,3,2007/08,2014,2007/08-2014
Yash Dayal,1,1,0,0,0.0,0.0,0,0,0,0,1,615,933,28,9.1,33.32,21.96,1,2022,2022,2022-2022
Yashpal Singh,4,67,47,20,11.75,70.15,0,0,5,0,4,0,0,0,,,,1,2009,2009,2009-2009
Younis Khan,1,7,3,3,3.0,42.86,0,0,0,0,1,0,0,0,,,,1,2007/08,2007/08,2007/08-2007/08
Yudhvir Singh,4,16,22,14,5.5,137.5,0,0,1,2,4,74,125,4,10.14,31.25,18.5,2,2023,2024,2023-2024
Yuvraj Singh,126,2207,2754,83,24.81,124.78,0,13,218,149,111,882,1091,36,7.42,30.31,24.5,11,2007/08,2019,2007/08-2019
Z Khan,27,141,117,23,8.36,82.98,0,0,11,2,14,2276,2860,102,7.54,28.04,22.31,8,2007/08,2017,2007/08-2017
A Nel,0,0,0,0,,,0,0,0,0,0,18,31,1,10.33,31.0,18.0,0,,,
AA Kazi,0,0,0,0,,,0,0,0,0,0,13,21,0,9.69,,,0,,,
AM Salvi,0,0,0,0,,,0,0,0,0,0,156,205,7,7.88,29.29,22.29,0,,,
Akash Singh,0,0,0,0,,,0,0,0,0,0,141,227,5,9.66,45.4,28.2,0,,,
Anand Rajan,0,0,0,0,,,0,0,0,0,0,162,206,8,7.63,25.75,20.25,0,,,
B Geeves,0,0,0,0,,,0,0,0,0,0,49,91,1,11.14,91.0,49.0,0,,,
BW Hilfenhaus,0,0,0,0,,,0,0,0,0,0,390,497,22,7.65,22.59,17.73,0,,,
C Ganapathy,0,0,0,0,,,0,0,0,0,0,6,13,0,13.0,,,0,,,
CJ Dala,0,0,0,0,,,0,0,0,0,0,19,34,0,10.74,,,0,,,
CJ Green,0,0,0,0,,,0,0,0,0,0,17,24,0,8.47,,,0,,,
D Jansen,0,0,0,0,,,0,0,0,0,0,28,53,1,11.36,53.0,28.0,0,,,
GS Sandhu,0,0,0,0,,,0,0,0,0,0,48,86,1,10.75,86.0,48.0,0,,,
Gagandeep Singh,0,0,0,0,,,0,0,0,0,0,84,142,3,10.14,47.33,28.0,0,,,
Gurnoor Brar,0,0,0,0,,,0,0,0,0,0,21,42,0,12.0,,,0,,,
H Sharma,0,0,0,0,,,0,0,0,0,0,30,62,0,12.4,,,0,,,
IC Porel,0,0,0,0,,,0,0,0,0,0,26,42,1,9.69,42.0,26.0,0,,,
J Little,0,0,0,0,,,0,0,0,0,0,236,341,11,8.67,31.0,21.45,0,,,
JW Hastings,0,0,0,0,,,0,0,0,0,0,61,66,3,6.49,22.0,20.33,0,,,
Jalaj S Saxena,0,0,0,0,,,0,0,0,0,0,18,27,0,9.0,,,0,,,
K Khejroliya,0,0,0,0,,,0,0,0,0,0,129,221,5,10.28,44.2,25.8,0,,,
K Santokie,0,0,0,0,,,0,0,0,0,0,51,91,3,10.71,30.33,17.0,0,,,
KT Maphaka,0,0,0,0,,,0,0,0,0,0,39,90,1,13.85,90.0,39.0,0,,,
L Ngidi,0,0,0,0,,,0,0,0,0,0,342,460,25,8.07,18.4,13.68,0,,,
LI Meriwala,0,0,0,0,,,0,0,0,0,0,19,32,1,10.11,32.0,19.0,0,,,
M Pathirana,0,0,0,0,,,0,0,0,0,0,503,617,34,7.36,18.15,14.79,0,,,
M Siddharth,0,0,0,0,,,0,0,0,0,0,58,72,1,7.45,72.0,58.0,0,,,
MB Parmar,0,0,0,0,,,0,0,0,0,0,19,33,0,10.42,,,0,,,
MG Neser,0,0,0,0,,,0,0,0,0,0,25,62,0,14.88,,,0,,,
MJ Henry,0,0,0,0,,,0,0,0,0,0,105,183,2,10.46,91.5,52.5,0,,,
MP Yadav,0,0,0,0,,,0,0,0,0,0,76,88,7,6.95,12.57,10.86,0,,,
Monu Kumar,0,0,0,0,,,0,0,0,0,0,16,20,0,7.5,,,0,,,
N Burger,0,0,0,0,,,0,0,0,0,0,105,152,7,8.69,21.71,15.0,0,,,
N Thushara,0,0,0,0,,,0,0,0,0,0,172,259,8,9.03,32.38,21.5,0,,,
